194.06, 224.81, 10.62, 10.51
197.36, 213.57, 14.59, 14.48
200.49, 215.89, 11.86, 11.75
196.97, 218.1, 12.53, 12.41
200.12, 213.69, 13.16, 13.03
190.11, 222.51, 13.77, 13.61
187.11, 211.38, 20.85, 20.66
190.75, 207.31, 21.08, 20.86
194.21, 216.45, 14.79, 14.54
191.0, 218.63, 15.32, 15.05
187.95, 220.69, 15.82, 15.53
191.56, 216.16, 16.3, 15.98
194.98, 224.85, 10.26, 9.91
191.73, 226.61, 11.01, 10.65
195.14, 228.28, 8.48, 8.1
198.39, 229.86, 6.08, 5.67
194.97, 224.87, 10.29, 9.87
198.22, 233.13, 4.54, 4.11
201.31, 227.97, 5.59, 5.13
204.24, 229.57, 3.33, 2.86
207.03, 231.09, 1.18, 1
203.18, 226.04, 5.64, 5.14
199.52, 227.74, 6.63, 6.11
202.54, 229.35, 4.32, 3.78
205.42, 230.88, 2.13, 1.57
201.65, 232.34, 3.29, 2.73
211.06, 233.72, 1, 1
200.51, 228.54, 5.76, 5.19
203.48, 223.61, 6.74, 6.16
206.31, 225.43, 4.42, 3.84
195.99, 227.16, 8.72, 8.13
199.2, 215.8, 12.8, 12.2
202.24, 218.01, 10.18, 9.57
198.62, 220.11, 10.95, 10.32
195.19, 222.1, 11.67, 11.03
198.43, 224.0, 9.11, 8.46
201.51, 219.3, 9.92, 9.27
204.44, 214.83, 10.7, 10.03
207.21, 210.59, 11.44, 10.75
196.85, 213.06, 15.4, 14.69
193.51, 215.41, 15.9, 15.18
190.33, 217.64, 16.37, 15.65
187.32, 219.76, 16.83, 16.1
184.45, 221.77, 17.26, 16.52
188.23, 217.18, 17.67, 16.92
191.82, 212.82, 18.07, 17.29
195.23, 215.18, 15.19, 14.4
191.97, 217.42, 15.71, 14.91
195.37, 213.05, 16.2, 15.39
198.6, 221.9, 10.16, 9.34
201.67, 217.3, 10.93, 10.09
204.59, 225.94, 5.17, 4.31
200.86, 227.64, 6.19, 5.31
210.31, 229.26, 1, 1
212.8, 230.8, 1, 1
208.66, 232.26, 1, 1
217.73, 227.14, 1, 1
219.84, 235.29, 1, 1
221.85, 236.52, 1, 1
223.75, 237.7, 1, 1
225.57, 225.81, 1, 1
214.29, 227.52, 1, 1
216.57, 229.14, 1, 1
212.25, 217.69, 5.57, 4.5
214.63, 219.8, 3.32, 2.24
210.4, 221.81, 4.45, 3.34
206.38, 217.22, 8.77, 7.63
209.06, 212.86, 9.63, 8.45
205.11, 215.22, 10.44, 9.23
201.35, 210.96, 14.46, 13.23
197.79, 206.91, 18.27, 17.03
194.4, 203.06, 21.89, 20.65
191.18, 199.41, 25.33, 24.08
194.62, 202.44, 22.1, 20.84
184.89, 198.82, 28.79, 27.51
188.64, 201.88, 25.4, 24.08
185.71, 198.28, 28.68, 27.33
182.93, 201.37, 28.55, 27.15
186.78, 204.3, 25.18, 23.74
177.44, 207.09, 28.49, 26.99
181.57, 209.73, 25.13, 23.57
178.99, 212.24, 25.19, 23.58
176.54, 208.13, 28.49, 26.84
174.21, 204.23, 30, 29.95
185.0, 213.51, 21.59, 19.89
188.75, 209.34, 21.82, 20.09
185.81, 218.37, 18.79, 17.02
196.02, 220.45, 12.67, 10.85
205.72, 215.93, 10.1, 8.25
201.94, 224.63, 7.66, 5.77
211.34, 232.9, 1, 1
